"","region","value"
"1","guyana",22.1
"2","south korea",18
"3","sri lanka",12.8
"4","lithuania",8.4
"5","suriname",11.9
"6","mozambique",21.1
"7","tanzania",18.3
"8","nepal",20
"9","kazakhstan",9.3
"10","burundi",12.5
"11","india",16.4
"12","south sudan",12.8
"13","turkmenistan",7.5
"14","russia",6.2
"15","uganda",12.3
"16","hungary",7.4
"17","japan",10.1
"18","belarus",6.4
"19","zimbabwe",9.7
"20","bhutan",11.2
"21","sudan",11.5
"22","comoros",10.3
"23","ukraine",5.3
"24","poland",3.8
"25","equatorial guinea",8.6
"26","eritrea",8.7
"27","latvia",4.3
"28","kenya",8.4
"29","malawi",8.9
"30","zambia",10.8
"31","montenegro",6.4
"32","djibouti",9.5
"33","finland",7.5
"34","belgium",7.7
"35","iceland",6.7
"36","angola",7.3
"37","moldova",4.8
"38","estonia",3.8
"39","el salvador",5.7
"40","myanmar",10.3
"41","trinidad and tobago",6.2
"42","czech republic",3.9
"43","slovenia",4.4
"44","serbia",5.8
"45","somalia",6.8
"46","papua new guinea",9.1
"47","france",6
"48","chile",5.8
"49","bolivia",8.5
"50","uruguay",5.2
"51","united states of america",5.2
"52","rwanda",7.2
"53","croatia",4.5
"54","austria",5.4
"55","ethiopia",6.7
"56","thailand",4.5
"57","cuba",4.5
"58","sweden",6.1
"59","ireland",5.2
"60","madagascar",6.9
"61","bosnia and herzegovina",4.1
"62","bulgaria",5.3
"63","australia",5.2
"64","solomon islands",7.2
"65","romania",2.9
"66","argentina",4.1
"67","slovakia",2.5
"68","democratic republic of the congo",4.8
"69","nicaragua",4.9
"70","mongolia",3.7
"71","canada",4.8
"72","congo",4.6
"73","new zealand",5
"74","central african republic",5.3
"75","cambodia",6.5
"76","pakistan",9.6
"77","germany",4.1
"78","kyrgyzstan",4.5
"79","switzerland",5.1
"80","ecuador",5.3
"81","norway",5.2
"82","denmark",4.1
"83","laos",6.6
"84","guatemala",4.3
"85","luxembourg",4.4
"86","uzbekistan",4.1
"87","portugal",3.5
"88","gabon",4.5
"89","netherlands",4.8
"90","bahrain",2.9
"91","mauritius",2.9
"92","c(""timor"", ""leste"")",5.8
"93","turkey",4.2
"94","china",8.7
"95","bangladesh",8.7
"96","sierra leone",4.5
"97","c(""cote d"", ""ivoire"")",4.1
"98","singapore",5.3
"99","fiji",4.1
"100","cameroon",3.4
"101","costa rica",2.2
"102","nigeria",2.9
"103","maldives",4.9
"104","brunei",5.2
"105","united kingdom",2.6
"106","swaziland",4.1
"107","lesotho",3.4
"108","paraguay",3.2
"109","malta",0.7
"110","israel",2.3
"111","albania",5.2
"112","brazil",2.5
"113","benin",3.1
"114","afghanistan",5.3
"115","togo",2.8
"116","honduras",2.8
"117","colombia",1.9
"118","senegal",2.8
"119","morocco",1.2
"120","republic of macedonia",3.2
"121","iran",3.6
"122","spain",2.2
"123","vietnam",2.4
"124","gambia",2.6
"125","cabo verde",1.6
"126","burkina faso",2.8
"127","mali",2.7
"128","panama",1.3
"129","cyprus",1.5
"130","italy",1.9
"131","chad",2.3
"132","c(""guinea"", ""bissau"")",2.4
"133","guinea",2.4
"134","qatar",1.2
"135","liberia",2
"136","indonesia",4.9
"137","mexico",1.7
"138","tajikistan",2.8
"139","dominican republic",2.1
"140","greece",1.3
"141","botswana",2
"142","yemen",3
"143","niger",1.9
"144","georgia",1
"145","peru",2.1
"146","united arab emirates",1.7
"147","ghana",2.2
"148","south africa",1.1
"149","malaysia",1.5
"150","armenia",0.9
"151","philippines",1.2
"152","mauritania",1.5
"153","haiti",2.4
"154","namibia",1.4
"155","belize",0.5
"156","venezuela",1
"157","tunisia",1.4
"158","barbados",0.6
"159","bahamas",1.3
"160","jordan",1.9
"161","algeria",1.5
"162","libya",1.4
"163","egypt",1.2
"164","azerbaijan",1
"165","iraq",2.1
"166","jamaica",0.7
"167","oman",0.6
"168","lebanon",0.6
"169","kuwait",0.8
"170","syria",0.2
"171","saudi arabia",0.2
